sample_id,category,object_type,granularity,mechanism
S01,建模,,,Analytical
S02,测量,,Other,Other
S03,建模,专用加速器与体系结构,Other,Analytical
S04,建模,专用加速器与体系结构,Loop/Op,AutoSearch
S05,建模,专用加速器与体系结构,Loop/Op,Analytical
S06,循环层,通用编译栈,Loop/Op,AutoSearch
S07,循环层,通用编译栈,Loop/Op,AutoSearch
S08,建模,测量与基准设施,Graph,Learned
S09,,专用加速器与体系结构,Other,AutoSearch
S10,测量,测量与基准设施,Other,Other
S100,测量,测量与基准设施,Other,Other
S101,异构,通用编译栈,Placement,Analytical
S102,,通用编译栈,,
S103,AI4C,通用编译栈,,Learned
S104,AI4C,测量与基准设施,Other,Other
S105,AI4C,通用编译栈,Loop/Op,Learned
S106,AI4C,通用编译栈,,
S107,AI4C,通用编译栈,Loop/Op,Agentic
S108,AI4C,通用编译栈,,Agentic
S109,测量,测量与基准设施,Other,Other
S11,建模,专用加速器与体系结构,Other,Analytical
S110,测量,测量与基准设施,Other,Other
S111,测量,测量与基准设施,Other,Other
S112,测量,测量与基准设施,Other,Other
S113,测量,测量与基准设施,Other,Other
S114,测量,测量与基准设施,Other,Other
S115,测量,测量与基准设施,Other,Other
S116,测量,测量与基准设施,Other,Other
S117,测量,测量与基准设施,Other,Other
S118,,测量与基准设施,Other,
S119,建模,测量与基准设施,Other,Analytical
S12,图层,通用编译栈,Graph,AutoSearch
S120,,通用编译栈,,AutoSearch
S121,测量,测量与基准设施,Other,Other
S13,图层,通用编译栈,Graph,AutoSearch
S14,图层,通用编译栈,Graph,Analytical
S15,图层,通用编译栈,Graph,
S16,图层,通用编译栈,Graph,AutoSearch
S17,,负载与模型层,Graph,Learned
S18,,,Graph,
S19,,,Graph,
S20,建模,专用加速器与体系结构,Loop/Op,Analytical
S21,,专用加速器与体系结构,Loop/Op,AutoSearch
S22,,专用加速器与体系结构,Placement,AutoSearch
S23,循环层,通用编译栈,Loop/Op,Analytical
S24,循环层,通用编译栈,Loop/Op,AutoSearch
S25,,通用编译栈,Loop/Op,AutoSearch
S26,循环层,通用编译栈,Loop/Op,Other
S27,循环层,通用编译栈,Loop/Op,AutoSearch
S28,建模,专用加速器与体系结构,Placement,Analytical
S29,,专用加速器与体系结构,,Learned
S30,异构,通用编译栈,Placement,
S31,异构,通用编译栈,Placement,AutoSearch
S32,,通用编译栈,,
S33,异构,通用编译栈,Placement,Learned
S34,异构,通用编译栈,Placement,Learned
S35,,,Power,
S36,功耗,通用编译栈,Power,
S37,功耗,,Power,Learned
S38,功耗,专用加速器与体系结构,Power,Analytical
S39,功耗,专用加速器与体系结构,Power,
S40,循环层,通用编译栈,Loop/Op,
S41,AI4C,通用编译栈,,AutoSearch
S42,AI4C,通用编译栈,,Agentic
S43,AI4C,通用编译栈,,Agentic
S44,,通用编译栈,Loop/Op,
S45,AI4C,通用编译栈,,Agentic
S46,,通用编译栈,,
S47,功耗,通用编译栈,Power,AutoSearch
S48,功耗,通用编译栈,Power,AutoSearch
S49,Pareto,专用加速器与体系结构,Other,AutoSearch
S50,Pareto,专用加速器与体系结构,Other,Learned
S51,Pareto,专用加速器与体系结构,Other,AutoSearch
S52,建模,测量与基准设施,,Learned
S53,建模,测量与基准设施,,
S54,建模,测量与基准设施,Graph,Learned
S55,建模,专用加速器与体系结构,Loop/Op,AutoSearch
S56,,专用加速器与体系结构,Loop/Op,AutoSearch
S57,,专用加速器与体系结构,Loop/Op,AutoSearch
S58,,专用加速器与体系结构,,
S59,,测量与基准设施,Other,
S60,,通用编译栈,Loop/Op,Learned
S61,图层,通用编译栈,Graph,
S62,图层,通用编译栈,Graph,AutoSearch
S63,图层,通用编译栈,Graph,AutoSearch
S64,,通用编译栈,,
S65,图层,通用编译栈,Graph,AutoSearch
S66,图层,通用编译栈,Graph,
S67,循环层,通用编译栈,Loop/Op,AutoSearch
S68,,通用编译栈,Loop/Op,
S69,循环层,通用编译栈,Loop/Op,AutoSearch
S70,循环层,通用编译栈,Loop/Op,
S71,循环层,通用编译栈,Loop/Op,AutoSearch
S72,稀疏,专用加速器与体系结构,Other,Other
S73,稀疏,通用编译栈,Loop/Op,Other
S74,稀疏,通用编译栈,,Other
S75,稀疏,通用编译栈,Loop/Op,
S76,稀疏,通用编译栈,,Other
S77,稀疏,,,Other
S78,稀疏,通用编译栈,,Other
S79,稀疏,负载与模型层,,
S80,稀疏,负载与模型层,,
S81,稀疏,负载与模型层,,
S82,TinyML,负载与模型层,,AutoSearch
S83,TinyML,负载与模型层,Graph,AutoSearch
S84,TinyML,负载与模型层,Graph,
S85,TinyML,专用加速器与体系结构,,Other
S86,TinyML,,,Other
S87,TinyML,通用编译栈,Other,Other
S88,TinyML,专用加速器与体系结构,Loop/Op,
S89,TinyML,负载与模型层,,
S90,,负载与模型层,Graph,
S91,,负载与模型层,,AutoSearch
S92,TinyML,负载与模型层,,Learned
S93,TinyML,,Graph,Analytical
S94,建模,专用加速器与体系结构,Other,Other
S95,功耗,,Power,Learned
S96,测量,测量与基准设施,Other,Other
S97,建模,,Power,Analytical
S98,建模,,Other,Analytical
S99,测量,测量与基准设施,Other,Other
