sample_id,category,object_type,granularity,mechanism
S01,建模,测量与基准设施,Loop/Op,Analytical
S02,测量,测量与基准设施,Other,Other
S03,建模,专用加速器与体系结构,Other,Analytical
S04,建模,专用加速器与体系结构,Loop/Op,AutoSearch
S05,建模,专用加速器与体系结构,Loop/Op,Analytical
S06,循环层,通用编译栈,Loop/Op,AutoSearch
S07,循环层,通用编译栈,Loop/Op,AutoSearch
S08,建模,测量与基准设施,Graph,Learned
S09,Pareto,专用加速器与体系结构,Other,AutoSearch
S10,测量,测量与基准设施,Other,Other
S100,测量,测量与基准设施,Other,Other
S101,异构,通用编译栈,Placement,Analytical
S102,功耗,通用编译栈,Power,AutoSearch
S103,AI4C,通用编译栈,Other,Learned
S104,AI4C,测量与基准设施,Other,Other
S105,AI4C,通用编译栈,Loop/Op,Learned
S106,AI4C,通用编译栈,Other,Agentic
S107,AI4C,通用编译栈,Loop/Op,Agentic
S108,AI4C,通用编译栈,Other,Agentic
S109,测量,测量与基准设施,Other,Other
S11,建模,专用加速器与体系结构,Other,Analytical
S110,测量,测量与基准设施,Other,Other
S111,测量,测量与基准设施,Other,Other
S112,测量,测量与基准设施,Other,Other
S113,测量,测量与基准设施,Other,Other
S114,测量,测量与基准设施,Other,Other
S115,测量,测量与基准设施,Other,Other
S116,测量,测量与基准设施,Other,Other
S117,测量,测量与基准设施,Other,Other
S118,建模,测量与基准设施,Other,Analytical
S119,建模,测量与基准设施,Other,Analytical
S12,图层,通用编译栈,Graph,AutoSearch
S120,Pareto,通用编译栈,Graph,AutoSearch
S121,测量,测量与基准设施,Other,Other
S13,图层,通用编译栈,Graph,AutoSearch
S14,图层,通用编译栈,Graph,Analytical
S15,图层,通用编译栈,Graph,AutoSearch
S16,图层,通用编译栈,Graph,AutoSearch
S17,图层,负载与模型层,Graph,Learned
S18,图层,通用编译栈,Graph,Analytical
S19,图层,通用编译栈,Graph,Analytical
S20,建模,专用加速器与体系结构,Loop/Op,Analytical
S21,建模,专用加速器与体系结构,Loop/Op,AutoSearch
S22,异构,专用加速器与体系结构,Placement,AutoSearch
S23,循环层,通用编译栈,Loop/Op,Analytical
S24,循环层,通用编译栈,Loop/Op,AutoSearch
S25,循环层,通用编译栈,Loop/Op,AutoSearch
S26,循环层,通用编译栈,Loop/Op,Other
S27,循环层,通用编译栈,Loop/Op,AutoSearch
S28,建模,专用加速器与体系结构,Placement,Analytical
S29,异构,专用加速器与体系结构,Placement,Learned
S30,异构,通用编译栈,Placement,AutoSearch
S31,异构,通用编译栈,Placement,AutoSearch
S32,异构,通用编译栈,Placement,AutoSearch
S33,异构,通用编译栈,Placement,Learned
S34,异构,通用编译栈,Placement,Learned
S35,建模,专用加速器与体系结构,Power,Analytical
S36,功耗,通用编译栈,Power,Learned
S37,功耗,通用编译栈,Power,Learned
S38,功耗,专用加速器与体系结构,Power,Analytical
S39,功耗,专用加速器与体系结构,Power,Analytical
S40,循环层,通用编译栈,Loop/Op,AutoSearch
S41,AI4C,通用编译栈,Other,AutoSearch
S42,AI4C,通用编译栈,Other,Agentic
S43,AI4C,通用编译栈,Other,Agentic
S44,循环层,通用编译栈,Loop/Op,Other
S45,AI4C,通用编译栈,Other,Agentic
S46,AI4C,通用编译栈,Other,Learned
S47,功耗,通用编译栈,Power,AutoSearch
S48,功耗,通用编译栈,Power,AutoSearch
S49,Pareto,专用加速器与体系结构,Other,AutoSearch
S50,Pareto,专用加速器与体系结构,Other,Learned
S51,Pareto,专用加速器与体系结构,Other,AutoSearch
S52,建模,测量与基准设施,Loop/Op,Learned
S53,建模,测量与基准设施,Loop/Op,Learned
S54,建模,测量与基准设施,Graph,Learned
S55,建模,专用加速器与体系结构,Loop/Op,AutoSearch
S56,循环层,专用加速器与体系结构,Loop/Op,AutoSearch
S57,循环层,专用加速器与体系结构,Loop/Op,AutoSearch
S58,建模,专用加速器与体系结构,Placement,AutoSearch
S59,测量,测量与基准设施,Other,Other
S60,建模,通用编译栈,Loop/Op,Learned
S61,图层,通用编译栈,Graph,Analytical
S62,图层,通用编译栈,Graph,AutoSearch
S63,图层,通用编译栈,Graph,AutoSearch
S64,循环层,通用编译栈,Loop/Op,AutoSearch
S65,图层,通用编译栈,Graph,AutoSearch
S66,图层,通用编译栈,Graph,AutoSearch
S67,循环层,通用编译栈,Loop/Op,AutoSearch
S68,循环层,通用编译栈,Loop/Op,AutoSearch
S69,循环层,通用编译栈,Loop/Op,AutoSearch
S70,循环层,通用编译栈,Loop/Op,AutoSearch
S71,循环层,通用编译栈,Loop/Op,AutoSearch
S72,稀疏,专用加速器与体系结构,Other,Other
S73,稀疏,通用编译栈,Loop/Op,Other
S74,稀疏,通用编译栈,Loop/Op,Other
S75,稀疏,通用编译栈,Loop/Op,AutoSearch
S76,稀疏,通用编译栈,Loop/Op,Other
S77,稀疏,专用加速器与体系结构,Loop/Op,Other
S78,稀疏,通用编译栈,Other,Other
S79,稀疏,负载与模型层,Other,Other
S80,稀疏,负载与模型层,Other,AutoSearch
S81,稀疏,负载与模型层,Other,Other
S82,TinyML,负载与模型层,Other,AutoSearch
S83,TinyML,负载与模型层,Graph,AutoSearch
S84,TinyML,负载与模型层,Graph,AutoSearch
S85,TinyML,专用加速器与体系结构,Other,Other
S86,TinyML,通用编译栈,Other,Other
S87,TinyML,通用编译栈,Other,Other
S88,TinyML,专用加速器与体系结构,Loop/Op,AutoSearch
S89,TinyML,负载与模型层,Other,AutoSearch
S90,TinyML,负载与模型层,Graph,Analytical
S91,TinyML,负载与模型层,Other,AutoSearch
S92,TinyML,负载与模型层,Other,Learned
S93,TinyML,通用编译栈,Graph,Analytical
S94,建模,专用加速器与体系结构,Other,Other
S95,功耗,通用编译栈,Power,Learned
S96,测量,测量与基准设施,Other,Other
S97,建模,专用加速器与体系结构,Power,Analytical
S98,建模,专用加速器与体系结构,Other,Analytical
S99,测量,测量与基准设施,Other,Other
