sample_id,mechanism,object_type
S01,Analytical,专用加速器与体系结构
S02,Other,专用加速器与体系结构
S03,Analytical,专用加速器与体系结构
S04,AutoSearch,专用加速器与体系结构
S05,Analytical,专用加速器与体系结构
S06,AutoSearch,通用编译栈
S07,AutoSearch,通用编译栈
S08,Learned,测量与基准设施
S09,AutoSearch,专用加速器与体系结构
S10,Other,测量与基准设施
S11,Analytical,专用加速器与体系结构
S12,AutoSearch,通用编译栈
S13,,
S14,Analytical,通用编译栈
S15,Analytical,通用编译栈
S16,AutoSearch,通用编译栈
S17,Learned,负载与模型层
S18,Analytical,通用编译栈
S19,Analytical,通用编译栈
S20,Analytical,专用加速器与体系结构
S21,AutoSearch,专用加速器与体系结构
S22,AutoSearch,专用加速器与体系结构
S23,Analytical,通用编译栈
S24,AutoSearch,通用编译栈
S25,AutoSearch,通用编译栈
S26,Other,通用编译栈
S27,AutoSearch,通用编译栈
S28,Analytical,专用加速器与体系结构
S29,Learned,专用加速器与体系结构
S30,Analytical,通用编译栈
S31,AutoSearch,通用编译栈
S32,Analytical,通用编译栈
S33,,通用编译栈
S34,Learned,通用编译栈
S35,Analytical,测量与基准设施
S36,Learned,通用编译栈
S37,Learned,通用编译栈
S38,Analytical,专用加速器与体系结构
S39,Analytical,专用加速器与体系结构
S40,Analytical,通用编译栈
S41,AutoSearch,通用编译栈
S42,Agentic,通用编译栈
S43,Agentic,通用编译栈
S44,Other,通用编译栈
S45,Agentic,通用编译栈
S46,AutoSearch,通用编译栈
S47,AutoSearch,通用编译栈
S48,AutoSearch,通用编译栈
S49,AutoSearch,专用加速器与体系结构
S50,Learned,专用加速器与体系结构
S51,AutoSearch,专用加速器与体系结构
S52,Learned,测量与基准设施
S53,Learned,测量与基准设施
S54,Learned,测量与基准设施
S55,AutoSearch,专用加速器与体系结构
S56,AutoSearch,专用加速器与体系结构
S57,AutoSearch,专用加速器与体系结构
S58,AutoSearch,专用加速器与体系结构
S59,Learned,测量与基准设施
S60,Learned,通用编译栈
S61,Analytical,通用编译栈
S62,AutoSearch,通用编译栈
S63,AutoSearch,通用编译栈
S64,Analytical,通用编译栈
S65,AutoSearch,通用编译栈
S66,Analytical,通用编译栈
S67,AutoSearch,通用编译栈
S68,AutoSearch,通用编译栈
S69,AutoSearch,通用编译栈
S70,AutoSearch,通用编译栈
S71,AutoSearch,通用编译栈
S72,Other,专用加速器与体系结构
S73,Other,通用编译栈
S74,Other,通用编译栈
S75,AutoSearch,通用编译栈
S76,Other,通用编译栈
S77,Other,专用加速器与体系结构
S78,Other,通用编译栈
S79,Other,负载与模型层
S80,AutoSearch,负载与模型层
S81,Other,负载与模型层
S82,AutoSearch,负载与模型层
S83,AutoSearch,负载与模型层
S84,AutoSearch,负载与模型层
S85,Other,专用加速器与体系结构
S86,Other,通用编译栈
S87,Other,通用编译栈
S88,AutoSearch,专用加速器与体系结构
S89,AutoSearch,负载与模型层
S90,Analytical,负载与模型层
S91,AutoSearch,负载与模型层
S92,Learned,负载与模型层
S93,Analytical,通用编译栈
S94,Other,专用加速器与体系结构
S95,Learned,测量与基准设施
S96,Other,测量与基准设施
S97,Analytical,测量与基准设施
S98,Analytical,测量与基准设施
S99,Other,测量与基准设施
S100,Other,测量与基准设施
S101,Analytical,通用编译栈
S102,Analytical,通用编译栈
S103,Learned,通用编译栈
S104,Other,测量与基准设施
S105,Learned,通用编译栈
S106,Agentic,通用编译栈
S107,Agentic,通用编译栈
S108,Agentic,通用编译栈
S109,,测量与基准设施
S110,Other,测量与基准设施
S111,Other,测量与基准设施
S112,Other,测量与基准设施
S113,Other,测量与基准设施
S114,Other,测量与基准设施
S115,Other,
S116,Other,测量与基准设施
S117,Other,测量与基准设施
S118,Analytical,测量与基准设施
S119,Analytical,测量与基准设施
S120,AutoSearch,通用编译栈
S121,Other,
