sample_id,field,coder_A,coder_B,agreed,rule,note
S09,category,建模,Pareto,,coding-rubric-v2 §3 类别裁决表,
S102,category,功耗,异构,,coding-rubric-v2 §3 类别裁决表,
S118,category,建模,测量,,coding-rubric-v2 §3 类别裁决表,
S120,category,Pareto,功耗,,coding-rubric-v2 §3 类别裁决表,
S17,category,图层,Pareto,,coding-rubric-v2 §3 类别裁决表,
S18,category,图层,Pareto,,coding-rubric-v2 §3 类别裁决表,
S19,category,图层,Pareto,,coding-rubric-v2 §3 类别裁决表,
S21,category,循环层,建模,,coding-rubric-v2 §3 类别裁决表,
S22,category,异构,Pareto,,coding-rubric-v2 §3 类别裁决表,
S25,category,循环层,AI4C,,coding-rubric-v2 §3 类别裁决表,
S29,category,异构,Pareto,,coding-rubric-v2 §3 类别裁决表,
S32,category,异构,TinyML,,coding-rubric-v2 §3 类别裁决表,
S35,category,建模,功耗,,coding-rubric-v2 §3 类别裁决表,
S44,category,循环层,AI4C,,coding-rubric-v2 §3 类别裁决表,
S46,category,AI4C,循环层,,coding-rubric-v2 §3 类别裁决表,
S56,category,循环层,Pareto,,coding-rubric-v2 §3 类别裁决表,
S57,category,循环层,Pareto,,coding-rubric-v2 §3 类别裁决表,
S58,category,异构,建模,,coding-rubric-v2 §3 类别裁决表,
S59,category,建模,测量,,coding-rubric-v2 §3 类别裁决表,
S60,category,建模,AI4C,,coding-rubric-v2 §3 类别裁决表,
S64,category,图层,循环层,,coding-rubric-v2 §3 类别裁决表,
S68,category,循环层,AI4C,,coding-rubric-v2 §3 类别裁决表,
S90,category,TinyML,Pareto,,coding-rubric-v2 §3 类别裁决表,
S91,category,TinyML,稀疏,,coding-rubric-v2 §3 类别裁决表,
S01,granularity,Other,Graph,,coding-rubric-v2 §2 粒度定义 / §1 粒度 Other 判据,
S102,granularity,Power,Placement,,coding-rubric-v2 §2 粒度定义 / §1 粒度 Other 判据,
S103,granularity,Other,Loop/Op,,coding-rubric-v2 §2 粒度定义 / §1 粒度 Other 判据,
S106,granularity,Other,Loop/Op,,coding-rubric-v2 §2 粒度定义 / §1 粒度 Other 判据,
S108,granularity,Other,Loop/Op,,coding-rubric-v2 §2 粒度定义 / §1 粒度 Other 判据,
S120,granularity,Graph,Power,,coding-rubric-v2 §2 粒度定义 / §1 粒度 Other 判据,
S29,granularity,Placement,Graph,,coding-rubric-v2 §2 粒度定义 / §1 粒度 Other 判据,
S32,granularity,Placement,Graph,,coding-rubric-v2 §2 粒度定义 / §1 粒度 Other 判据,
