model,backend,precision,tag,batch,graph_opt_level,intra_op_threads,rep,flops_approx_g,mean_lat_ms,p95_lat_ms,throughput_qps,mean_power_w,idle_power_w,energy_j_per_inf,energy_net_j_per_inf,edp,static_share_pct,samples,run_wall_s,gpu_index,gpu_name,driver_version,sm_clock_mhz,max_sm_clock_mhz,power_limit_w,temp_gpu_c,util_gpu_pct
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,1,0.31,1.7358,1.7498,575.39,81.4489,37.151,0.141381,0.076893,0.000245413,45.6,134,20.0,0,NVIDIA A100-PCIE-40GB,535.104.12,1410,1410,250.00,32,68
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,2,0.31,1.7351,1.7418,575.57,81.4722,37.151,0.141359,0.0769,0.000245267,45.6,133,20.0,0,NVIDIA A100-PCIE-40GB,535.104.12,1410,1410,250.00,33,69
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,3,0.31,1.7373,1.748,574.78,81.3241,37.151,0.141284,0.076742,0.000245453,45.7,134,20.0,0,NVIDIA A100-PCIE-40GB,535.104.12,1410,1410,250.00,32,51
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,4,0.31,1.7323,1.7366,576.56,81.4227,37.151,0.141052,0.076694,0.000244352,45.6,134,20.0,0,NVIDIA A100-PCIE-40GB,535.104.12,1410,1410,250.00,33,69
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,5,0.31,1.7368,1.7535,575.02,81.4193,37.151,0.141406,0.076883,0.000245588,45.6,134,20.0,0,NVIDIA A100-PCIE-40GB,535.104.12,1410,1410,250.00,33,69
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,6,0.31,1.7414,1.7568,573.48,81.2229,37.151,0.141439,0.076745,0.000246296,45.7,134,20.0,0,NVIDIA A100-PCIE-40GB,535.104.12,1410,1410,250.00,32,68
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,7,0.31,1.7416,1.7607,573.37,81.3066,37.151,0.141601,0.0769,0.000246607,45.7,134,20.0,0,NVIDIA A100-PCIE-40GB,535.104.12,1410,1410,250.00,32,68
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,8,0.31,1.7388,1.7548,574.26,81.4499,37.151,0.141623,0.077026,0.000246252,45.6,134,20.0,0,NVIDIA A100-PCIE-40GB,535.104.12,1410,1410,250.00,33,67
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b16,16,0,0,1,0.31,3.8783,3.8655,257.67,183.9355,37.098,0.713365,0.569486,0.002766676,20.2,133,20.0,0,NVIDIA A100-PCIE-40GB,535.104.12,1410,1410,250.00,36,74
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b16,16,0,0,2,0.31,3.8779,3.8668,257.7,181.555,37.098,0.704047,0.560186,0.002730203,20.4,133,20.0,0,NVIDIA A100-PCIE-40GB,535.104.12,1410,1410,250.00,37,96
