"model","backend","precision","batch","graph_opt_level","lat_ms","lat_sd","p95_ms","qps","power_w","idle_w","j_inf_gross","j_inf_net","edp","static_pct"
"mobilenetv2","ort-cuda","fp32","1","0","1.7374","0.0032","1.7502","574.8","81.38","37.15","0.141393","0.076848","0.000245654","45.6"
"mobilenetv2","ort-cuda","fp32","1","1","1.7302","0.0081","1.7673","577.09","81.55","37.39","0.141099","0.076411","0.000244133","45.8"
"mobilenetv2","ort-cuda","fp32","1","2","1.7103","0.0096","1.7344","583.89","81.69","37.53","0.139711","0.075517","0.000238952","45.9"
"mobilenetv2","ort-cuda","fp32","1","99","1.7369","0.0091","1.7598","574.92","81.57","37.63","0.141686","0.07632","0.000246097","46.1"
"mobilenetv2","ort-cuda","fp32","16","0","3.8861","0.0084","3.9243","257.14","181.41","37.1","0.704976","0.560808","0.002739627","20.5"
"mobilenetv2","ort-cuda","fp32","16","1","3.8457","0.0037","3.8241","259.86","180.84","37.06","0.695462","0.552943","0.002674561","20.5"
"mobilenetv2","ort-cuda","fp32","16","2","3.8063","0.0054","3.862","262.53","179.69","37.42","0.683959","0.541531","0.002603355","20.8"
"mobilenetv2","ort-cuda","fp32","16","99","3.8535","0.0139","3.9501","259.32","180.13","37.47","0.694139","0.549734","0.002674898","20.8"
"mobilenetv2","torch-eager","fp16","1","","7.3414","0.0287","7.525","136.18","39.1","37.41","0.287029","0.012366","0.002107222","95.7"
"mobilenetv2","torch-eager","fp16","16","","7.4961","0.049","7.804","133.37","61.08","37.28","0.457837","0.178398","0.003431911","61"
"mobilenetv2","torch-eager","fp32","1","","6.4698","0.1412","7.0708","154.58","39.8","37.51","0.257526","0.014829","0.001666811","94.2"
"mobilenetv2","torch-eager","fp32","16","","6.3376","0.0242","6.4705","157.74","113.43","37.3","0.71888","0.482494","0.004556011","32.9"
"resnet50","ort-cuda","fp32","1","0","3.5139","0.0403","3.6486","284.4","102.51","37.64","0.36019","0.22793","0.00126576","36.7"
"resnet50","ort-cuda","fp32","1","1","3.4308","0.0156","3.5597","291.25","104.04","37.63","0.356954","0.227844","0.001224663","36.2"
"resnet50","ort-cuda","fp32","1","2","3.6091","0.0149","3.6537","276.87","110.37","37.65","0.398325","0.262461","0.001437596","34.1"
"resnet50","ort-cuda","fp32","1","99","3.5972","0.0261","3.7434","277.81","110.59","37.63","0.397801","0.262436","0.001431017","34"
"resnet50","ort-cuda","fp32","16","0","7.2976","0.0449","7.679","136.98","198.02","37.43","1.445067","1.171902","0.010545718","18.9"
"resnet50","ort-cuda","fp32","16","1","7.2156","0.015","7.4426","138.53","196.83","37.4","1.420212","1.150365","0.010247622","19"
"resnet50","ort-cuda","fp32","16","2","7.1454","0.0254","7.2855","139.89","197.15","37.43","1.40868","1.141258","0.010065522","19"
"resnet50","ort-cuda","fp32","16","99","7.1919","0.0219","7.3878","138.99","196","37.42","1.409566","1.140438","0.010137472","19.1"
"resnet50","torch-eager","fp16","1","","8.3105","0.0191","10.9058","120.3","42.52","37.39","0.353327","0.042621","0.002936344","87.9"
"resnet50","torch-eager","fp16","16","","8.1262","0.063","10.6648","123.03","131.74","37.26","1.070499","0.767716","0.00869939","28.3"
"resnet50","torch-eager","fp32","1","","7.3341","0.0309","7.4416","136.31","46.12","37.33","0.338223","0.064463","0.002480593","80.9"
"resnet50","torch-eager","fp32","16","","7.485","0.0393","7.9225","133.57","180.24","37.16","1.349054","1.070896","0.010097794","20.6"
"vit_b_16","ort-cuda","fp32","1","0","3.2433","0.0069","3.2331","308.08","163.01","42.59","0.528689","0.390555","0.001714671","26.1"
"vit_b_16","ort-cuda","fp32","1","1","3.2069","0.003","3.197","311.54","164.34","42.71","0.527014","0.390051","0.001690075","26"
"vit_b_16","ort-cuda","fp32","1","2","2.8452","0.0084","2.844","351.18","168.42","42.76","0.479194","0.357524","0.001363394","25.4"
"vit_b_16","ort-cuda","fp32","1","99","2.857","0.0083","2.854","349.72","168.06","42.76","0.480161","0.358","0.001371839","25.4"
"vit_b_16","ort-cuda","fp32","16","0","18.881","0.0477","19.1539","52.96","248.27","42.48","4.687649","3.885637","0.088507998","17.1"
"vit_b_16","ort-cuda","fp32","16","1","18.8669","0.018","19.0506","53","248.6","42.83","4.690381","3.882234","0.088493118","17.2"
"vit_b_16","ort-cuda","fp32","16","2","14.5786","0.0213","14.7897","68.58","247.54","42.01","3.608707","2.996275","0.052609865","17"
"vit_b_16","ort-cuda","fp32","16","99","14.6048","0.0247","14.9051","68.46","247.85","42.65","3.619849","2.997","0.052867105","17.2"
"vit_b_16","torch-eager","fp16","1","","5.8217","0.0775","5.9701","171.74","50.9","37.07","0.296325","0.080496","0.001725292","72.8"
"vit_b_16","torch-eager","fp16","16","","6.4336","0.1764","7.092","155.49","243.57","36.97","1.56691","1.329034","0.01008667","15.2"
"vit_b_16","torch-eager","fp32","1","","5.6961","0.0402","5.7992","175.51","184.54","37.25","1.051112","0.838928","0.005987142","20.2"
"vit_b_16","torch-eager","fp32","16","","40.6358","0.0051","40.9814","24.61","248.98","37.48","10.117337","8.594468","0.411126702","15"
