model,backend,precision,tag,batch,graph_opt_level,intra_op_threads,rep,flops_approx_g,mean_lat_ms,p95_lat_ms,throughput_qps,mean_power_w,idle_power_w,energy_j_per_inf,energy_net_j_per_inf,edp,static_share_pct,samples,run_wall_s,gpu_index,gpu_name,driver_version,sm_clock_mhz,max_sm_clock_mhz,power_limit_w,temp_gpu_c,util_gpu_pct
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,1,0.31,1.0006,1.0277,998.91,97.444,54.975,0.097503,0.042495,9.7563e-05,56.4,72,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2730,3105,450.00,37,47
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,2,0.31,0.9987,1.0281,1000.72,99.6668,54.975,0.099541,0.044636,9.9416e-05,55.2,71,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2730,3105,450.00,38,47
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,3,0.31,1.0032,1.0483,996.3,99.6899,54.975,0.100009,0.044858,0.000100329,55.1,72,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2730,3105,450.00,40,47
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,4,0.31,1.0021,1.0283,997.39,100.4889,54.975,0.100702,0.04561,0.000100915,54.7,71,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2730,3105,450.00,41,47
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,5,0.31,1.003,1.0439,996.47,101.6708,54.975,0.101981,0.046838,0.000102292,54.1,72,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2730,3105,450.00,40,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,6,0.31,1.0058,1.0455,993.75,101.0903,54.975,0.101673,0.046381,0.00010226,54.4,71,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2730,3105,450.00,41,47
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,7,0.31,1.0026,1.0385,996.94,101.8241,54.975,0.102085,0.046969,0.000102347,54.0,73,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2730,3105,450.00,40,0
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b1,1,0,0,8,0.31,1.0038,1.0458,995.73,101.6819,54.975,0.102067,0.046884,0.000102454,54.1,70,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2730,3105,450.00,41,47
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b16,16,0,0,1,0.31,2.4868,2.5563,402.03,259.9246,57.69,0.646387,0.502922,0.00160745,22.2,70,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,51,96
mobilenetv2,ort-cuda,fp32,mobilenetv2-ort-fp32-opt0-b16,16,0,0,2,0.31,2.4845,2.5357,402.41,265.911,57.69,0.660646,0.517317,0.00164135,21.7,71,20.0,0,NVIDIA GeForce RTX 4090,580.105.08,2700,3105,450.00,53,46
