model,backend,precision,batch,graph_opt_level,intra_op_threads,lat_ms_mean,lat_ms_std,p95_ms,qps,power_w,idle_w,j_inf_gross,j_inf_net,edp,static_share_pct
mobilenetv3_large,ort-cuda,fp32,1,0,0,1.4072,0.0063,1.5353,710.35,94.17,59.32,0.132520,0.049049,0.000186486,63.0
mobilenetv3_large,ort-cuda,fp32,1,1,0,1.3757,0.0284,1.4899,726.88,94.75,58.87,0.130330,0.049345,0.000179348,62.1
mobilenetv3_large,ort-cuda,fp32,1,2,0,1.3968,0.0179,1.5058,715.75,94.69,58.51,0.132259,0.050537,0.000184767,61.8
mobilenetv3_large,ort-cuda,fp32,1,99,0,1.3750,0.0053,1.5017,727.00,94.45,58.50,0.129865,0.049433,0.000178565,62.0
mobilenetv3_large,ort-cuda,fp32,16,0,0,2.1783,0.0019,2.3003,458.95,217.50,57.11,0.473789,0.349388,0.001032080,26.2
mobilenetv3_large,ort-cuda,fp32,16,1,0,2.1711,0.0013,2.2923,460.47,217.34,56.20,0.471876,0.349865,0.001024516,25.9
mobilenetv3_large,ort-cuda,fp32,16,2,0,2.1789,0.0022,2.2999,458.82,216.51,57.04,0.471753,0.347471,0.001027921,26.3
mobilenetv3_large,ort-cuda,fp32,16,99,0,2.1788,0.0023,2.3014,458.84,215.07,56.63,0.468604,0.345208,0.001021001,26.4
mobilenetv3_large,torch-compile,fp16,1,,,3.1390,0.0321,3.3507,318.55,68.62,59.45,0.215403,0.028796,0.000676200,86.6
mobilenetv3_large,torch-compile,fp16,16,,,3.3456,0.0546,3.5899,298.92,89.24,58.19,0.298543,0.103881,0.000998993,65.2
mobilenetv3_large,torch-compile,fp32,1,,,3.1700,0.0232,3.4077,315.42,69.94,60.12,0.221704,0.031140,0.000702843,86.0
mobilenetv3_large,torch-compile,fp32,16,,,3.1902,0.0482,3.4146,313.46,107.06,64.39,0.341520,0.136097,0.001089630,60.1
mobilenetv3_large,torch-eager,fp16,1,,,5.7802,0.1005,6.1068,173.03,68.90,56.74,0.398256,0.070260,0.002302605,82.3
mobilenetv3_large,torch-eager,fp16,16,,,5.7479,0.0521,6.0717,173.97,90.26,56.09,0.518812,0.196443,0.002982198,62.1
mobilenetv3_large,torch-eager,fp32,1,,,5.0381,0.0922,5.3225,198.52,70.00,57.37,0.352657,0.063648,0.001777137,81.9
mobilenetv3_large,torch-eager,fp32,16,,,5.0484,0.1338,5.3344,198.18,111.61,56.60,0.563323,0.277580,0.002845019,50.7
resnet18,ort-cuda,fp32,1,0,0,0.6515,0.0025,0.6773,1533.64,149.67,57.07,0.097515,0.060332,0.000063535,38.1
resnet18,ort-cuda,fp32,1,1,0,0.6519,0.0210,0.6845,1534.16,151.04,57.80,0.098407,0.060730,0.000064173,38.3
resnet18,ort-cuda,fp32,1,2,0,0.6445,0.0115,0.6776,1550.83,153.85,58.57,0.099144,0.061398,0.000063910,38.1
resnet18,ort-cuda,fp32,1,99,0,0.6290,0.0021,0.6568,1588.31,154.04,58.42,0.096902,0.060153,0.000060957,37.9
resnet18,ort-cuda,fp32,16,0,0,2.3231,0.0020,2.4389,430.35,221.67,57.12,0.514979,0.382281,0.001196375,25.8
resnet18,ort-cuda,fp32,16,1,0,2.3251,0.0047,2.4421,429.99,222.54,56.82,0.517437,0.385324,0.001203122,25.5
resnet18,ort-cuda,fp32,16,2,0,2.3265,0.0024,2.4363,429.73,222.78,56.41,0.518287,0.387062,0.001205788,25.3
resnet18,ort-cuda,fp32,16,99,0,2.3437,0.0007,2.4583,426.58,222.98,56.66,0.522602,0.389818,0.001224806,25.4
resnet18,torch-compile,fp16,1,,,1.2844,0.0120,1.4028,778.32,77.62,64.18,0.099696,0.017259,0.000128055,82.7
resnet18,torch-compile,fp16,16,,,1.2916,0.0169,1.4037,774.04,181.66,63.17,0.234614,0.153024,0.000303042,34.8
resnet18,torch-compile,fp32,1,,,1.5007,0.0178,1.6226,666.21,93.76,55.51,0.140710,0.057412,0.000211187,59.2
resnet18,torch-compile,fp32,16,,,1.6092,0.0026,1.6861,621.22,266.46,64.52,0.428796,0.324970,0.000690041,24.2
resnet18,torch-eager,fp16,1,,,2.4179,0.0308,2.5847,413.55,77.12,57.78,0.186466,0.046754,0.000450897,74.9
resnet18,torch-eager,fp16,16,,,2.4393,0.0261,2.6094,409.90,160.72,57.37,0.392054,0.252103,0.000956486,35.7
resnet18,torch-eager,fp32,1,,,1.9674,0.0336,2.1029,508.28,85.98,57.67,0.169148,0.055696,0.000332841,67.1
resnet18,torch-eager,fp32,16,,,2.0011,0.0246,2.1391,499.65,246.09,57.03,0.492414,0.378283,0.000985414,23.2
